"id","has_settlement","allegation_count","complaint_category"
"29","0","6","Operation/Personnel Violations"
"474","0","6","Operation/Personnel Violations"
"964","0","6","Operation/Personnel Violations"
"1677","0","24","Use Of Force"
"1950","0","22","Illegal Search"
"2214","0","21","Operation/Personnel Violations"
"2250","0","2","Operation/Personnel Violations"
"2453","0","58","Use Of Force"
"2509","0","13","Illegal Search"
"2529","0","11","Operation/Personnel Violations"
"3091","0","9","False Arrest"
"3506","0","1","Bribery / Official Corruption"
"3764","0","89","Use Of Force"
"4894","0","1","Use Of Force"
"5385","0","2","Supervisory Responsibilities"
"5409","0","3","Operation/Personnel Violations"
"5556","0","6","Operation/Personnel Violations"
"7225","0","2","Drug / Alcohol Abuse"
"7279","0","6","Criminal Misconduct"
"7747","0","4","Conduct Unbecoming (Off-Duty)"
"8484","0","5","False Arrest"
"9233","0","18","Operation/Personnel Violations"
"9458","0","33","Illegal Search"
"9715","0","1","Bribery / Official Corruption"
"10871","0","5","Illegal Search"
"10959","0","1","Operation/Personnel Violations"
"11190","1","82","Use Of Force"
"11567","0","1","Lockup Procedures"
"11619","0","8","Operation/Personnel Violations"
"11625","0","29","Illegal Search"
"11745","0","3","Supervisory Responsibilities"
"11945","0","4","Criminal Misconduct"
"12568","0","8","Conduct Unbecoming (Off-Duty)"
"13098","0","2","Drug / Alcohol Abuse"
"13248","0","5","Operation/Personnel Violations"
"13401","0","31","Conduct Unbecoming (Off-Duty)"
"13452","0","10","Operation/Personnel Violations"
"13460","0","13","Domestic"
"13518","0","16","Lockup Procedures"
"13723","0","3","Illegal Search"
"14719","0","22","Operation/Personnel Violations"
"15057","0","20","Use Of Force"
"15173","0","4","Operation/Personnel Violations"
"15194","1","27","Operation/Personnel Violations"
"15237","0","33","Illegal Search"
"15322","0","6","Operation/Personnel Violations"
"15371","0","7","Operation/Personnel Violations"
"15375","0","2","False Arrest"
"15432","0","14","Operation/Personnel Violations"
"15437","0","15","Use Of Force"
"15663","1","9","Illegal Search"
"15663","1","9","Illegal Search"
"15846","0","1","Lockup Procedures"
"16530","0","9","Operation/Personnel Violations"
"16742","0","6","Use Of Force"
"17043","0","1","Operation/Personnel Violations"
"17048","0","1","Supervisory Responsibilities"
"17499","0","10","Operation/Personnel Violations"
"17971","0","22","Illegal Search"
"17979","0","20","Domestic"
"18196","0","21","Operation/Personnel Violations"
"18295","0","73","Illegal Search"
"18348","0","2","Criminal Misconduct"
"18628","0","1","Operation/Personnel Violations"
"19163","0","38","Illegal Search"
"19979","0","8","Lockup Procedures"
"21965","0","3","Operation/Personnel Violations"
"22129","0","6","Operation/Personnel Violations"
"23492","0","27","Use Of Force"
"23506","1","7","Use Of Force"
"23766","0","14","Illegal Search"
"25084","1","1","Operation/Personnel Violations"
"25479","0","3","Illegal Search"
"25649","0","5","Use Of Force"
"25826","0","2","Operation/Personnel Violations"
"27255","0","2","Operation/Personnel Violations"
"27563","0","2","Bribery / Official Corruption"
"27651","0","58","Operation/Personnel Violations"
"27919","0","5","Operation/Personnel Violations"
"28078","0","5","Operation/Personnel Violations"
"28242","0","1","Operation/Personnel Violations"
"28728","0","2","Operation/Personnel Violations"
"28762","0","2","Drug / Alcohol Abuse"
"29018","1","49","Illegal Search"
"29089","0","27","Operation/Personnel Violations"
"29824","0","11","Illegal Search"
"29841","0","88","Operation/Personnel Violations"
"30428","0","2","Lockup Procedures"
"30562","0","1","Operation/Personnel Violations"
"30928","0","2","Criminal Misconduct"
"31156","0","9","Operation/Personnel Violations"
"31703","0","3","Operation/Personnel Violations"
"31944","0","25","False Arrest"
"32098","0","8","Operation/Personnel Violations"
"65","0","31","Use Of Force"
"191","0","42","Operation/Personnel Violations"
"418","0","1","Supervisory Responsibilities"
"541","1","11","Use Of Force"
"558","0","1","Operation/Personnel Violations"
"1010","0","4","Operation/Personnel Violations"
"1224","0","7","Operation/Personnel Violations"
"1277","0","30","Use Of Force"
"1360","0","10","Conduct Unbecoming (Off-Duty)"
"2173","0","8","Use Of Force"
"2812","0","12","Operation/Personnel Violations"
"2941","0","14","Operation/Personnel Violations"
"3015","0","10","Use Of Force"
"3061","0","1","Operation/Personnel Violations"
"3199","0","7","Criminal Misconduct"
"3280","0","15","Domestic"
"3391","0","12","Operation/Personnel Violations"
"3806","0","14","Operation/Personnel Violations"
"4126","0","5","Lockup Procedures"
"4371","0","1","Criminal Misconduct"
"5241","0","2","Operation/Personnel Violations"
"5759","0","21","Operation/Personnel Violations"
"6401","0","3","Lockup Procedures"
"6424","0","15","Operation/Personnel Violations"
"6834","0","12","Use Of Force"
"6892","0","1","Operation/Personnel Violations"
"7130","0","9","Operation/Personnel Violations"
"7358","0","3","Operation/Personnel Violations"
"7544","0","1","Operation/Personnel Violations"
"7546","0","9","Operation/Personnel Violations"
"8092","0","5","Conduct Unbecoming (Off-Duty)"
"9179","0","2","Bribery / Official Corruption"
"10237","0","2","Operation/Personnel Violations"
"10636","0","18","Operation/Personnel Violations"
"11270","0","36","Use Of Force"
"11593","0","8","Lockup Procedures"
"11860","0","33","Use Of Force"
"12148","0","3","Operation/Personnel Violations"
